链接对象:<socket.socket fd=896, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 50969)>
链接对象:<socket.socket fd=936, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 50990)>
链接对象:<socket.socket fd=888, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 50997)>
链接对象:<socket.socket fd=896, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 50998)>
链接对象:<socket.socket fd=688, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 51131)>
链接对象:<socket.socket fd=924, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 51132)>
链接对象:<socket.socket fd=888, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 51227)>
链接对象:<socket.socket fd=900, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 51242)>
链接对象:<socket.socket fd=892, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 51255)>
链接对象:<socket.socket fd=896, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 51659)>
链接对象:<socket.socket fd=904, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 51668)>
链接对象:<socket.socket fd=888, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 51708)>
链接对象:<socket.socket fd=892, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 51827)>
链接对象:<socket.socket fd=900, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 53316)>
链接对象:<socket.socket fd=892, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 53323)>
链接对象:<socket.socket fd=888, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 53503)>
链接对象:<socket.socket fd=1088, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 54045)>
链接对象:<socket.socket fd=1148, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 54046)>
链接对象:<socket.socket fd=1236, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 54047)>
链接对象:<socket.socket fd=1168, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 54073)>
链接对象:<socket.socket fd=888, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 54241)>
链接对象:<socket.socket fd=884, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 54251)>
链接对象:<socket.socket fd=944, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 54256)>
链接对象:<socket.socket fd=904, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 54267)>
链接对象:<socket.socket fd=1064, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 54286)>
链接对象:<socket.socket fd=888, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 54383)>
链接对象:<socket.socket fd=900, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 54462)>
链接对象:<socket.socket fd=908, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 54485)>
链接对象:<socket.socket fd=892, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 56004)>
链接对象:<socket.socket fd=900, family=2, type=1, proto=0, laddr=('192.168.245.23', 5000), raddr=('192.168.245.23', 56756)>
链接对象:<socket.socket fd=720, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 51489)>
链接对象:<socket.socket fd=876, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 51882)>
链接对象:<socket.socket fd=940, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 51885)>
链接对象:<socket.socket fd=884, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 51891)>
链接对象:<socket.socket fd=864, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 51900)>
链接对象:<socket.socket fd=912, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 51901)>
链接对象:<socket.socket fd=876, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 51905)>
链接对象:<socket.socket fd=912, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 51907)>
链接对象:<socket.socket fd=872, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 52022)>
链接对象:<socket.socket fd=876, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 52064)>
链接对象:<socket.socket fd=872, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 52066)>
链接对象:<socket.socket fd=904, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 53101)>
链接对象:<socket.socket fd=884, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 53377)>
链接对象:<socket.socket fd=888, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 53919)>
链接对象:<socket.socket fd=936, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 53922)>
链接对象:<socket.socket fd=1008, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 53927)>
链接对象:<socket.socket fd=904, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 53928)>
链接对象:<socket.socket fd=992, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 54411)>
链接对象:<socket.socket fd=760, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 54412)>
链接对象:<socket.socket fd=928, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 54413)>
链接对象:<socket.socket fd=1004, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 55536)>
链接对象:<socket.socket fd=1048, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 55547)>
链接对象:<socket.socket fd=948, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 64990)>
链接对象:<socket.socket fd=992, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 65004)>
链接对象:<socket.socket fd=944, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 65059)>
链接对象:<socket.socket fd=1056, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 65070)>
链接对象:<socket.socket fd=696, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 65153)>
链接对象:<socket.socket fd=1004, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 65257)>
链接对象:<socket.socket fd=1064, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 65258)>
链接对象:<socket.socket fd=1012, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 65271)>
链接对象:<socket.socket fd=1020, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 63610)>
链接对象:<socket.socket fd=1088, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 63722)>
链接对象:<socket.socket fd=972, family=2, type=1, proto=0, laddr=('192.168.226.23', 5000), raddr=('192.168.226.23', 63725)>
链接对象:<socket.socket fd=1648, family=2, type=1, proto=0, laddr=('192.168.0.3', 5000), raddr=('192.168.0.3', 52089)>
